,ID,Name,Reference,Status,Last Time,Last Reading
0,5cf72a67e4b0d43893e88f03,江山路云水路（新昇半导体）,00605005,N,2019-06-18 08:29:00,18.73
1,5cf72c21e4b0d43893e88f04,南芦公路（芦潮港，果园泵站）,00605001,N,2019-06-18 08:29:00,20.59
2,5cf72c3ce4b0d43893e88f05,江山路倚天路,00605002,N,2019-06-18 08:29:00,16.23
3,5cf72c5fe4b0d43893e88f06,江山路天高路,00605003,N,2019-06-18 08:29:00,20.33
4,5cf72c94e4b0d43893e88f07,江山路妙香路,00605004,N,2019-06-18 08:09:00,21.49
5,5cf72dcde4b0d43893e88f08,芦五公路,00605006,N,2019-06-18 08:29:00,20.04
6,5cf72de6e4b0d43893e88f09,万水路新元南路,00605007,N,2019-06-18 08:29:00,20.03
7,5cf72e01e4b0d43893e88f0a,层林路沧海路（上海电气）,00605008,N,2019-06-18 08:29:00,8.38
8,5cf72e1de4b0d43893e88f0b,倚天路沧海路,00605009,N,2019-06-18 08:29:00,19.35
9,5cf72e34e4b0d43893e88f0c,沧海路中（中港柴油机制造）,00605010,N,2019-06-18 08:29:00,20.30
10,5cf72e4ee4b0d43893e88f0d,沧海路妙香路（五七路妙香路泵站）,00605011,N,2019-06-18 08:29:00,20.04
